,region,category,parameter,mode,powertrain,year,unit,value
3006,Iceland,Historical,EV charging points,EV,Publicly available slow,2020,charging points,288.0
3007,Iceland,Historical,EV charging points,EV,Publicly available fast,2021,charging points,125.0
3008,Iceland,Historical,EV charging points,EV,Publicly available slow,2021,charging points,560.0
3066,India,Historical,EV charging points,EV,Publicly available fast,2017,charging points,25.0
3067,India,Historical,EV charging points,EV,Publicly available slow,2017,charging points,222.0
3078,India,Historical,EV charging points,EV,Publicly available fast,2018,charging points,25.0
3079,India,Historical,EV charging points,EV,Publicly available slow,2018,charging points,326.66
3084,India,Historical,EV charging points,EV,Publicly available fast,2019,charging points,25.0
3085,India,Historical,EV charging points,EV,Publicly available slow,2019,charging points,326.66
3114,India,Historical,EV charging points,EV,Publicly available fast,2020,charging points,25.0
3115,India,Historical,EV charging points,EV,Publicly available slow,2020,charging points,535.0
3132,India,Historical,EV charging points,EV,Publicly available fast,2021,charging points,32.0
3133,India,Historical,EV charging points,EV,Publicly available slow,2021,charging points,906.0
3333,Indonesia,Historical,EV charging points,EV,Publicly available fast,2020,charging points,51.0
3334,Indonesia,Historical,EV charging points,EV,Publicly available slow,2020,charging points,50.0
3335,Indonesia,Historical,EV charging points,EV,Publicly available fast,2021,charging points,132.0
3336,Indonesia,Historical,EV charging points,EV,Publicly available slow,2021,charging points,54.0
3424,Italy,Historical,EV charging points,EV,Publicly available fast,2017,charging points,393.0
3425,Italy,Historical,EV charging points,EV,Publicly available slow,2017,charging points,2424.0
3459,Italy,Historical,EV charging points,EV,Publicly available fast,2018,charging points,573.0
3460,Italy,Historical,EV charging points,EV,Publicly available slow,2018,charging points,2860.0
3461,Italy,Historical,EV charging points,EV,Publicly available fast,2019,charging points,864.0
3462,Italy,Historical,EV charging points,EV,Publicly available slow,2019,charging points,8312.0
3502,Italy,Historical,EV charging points,EV,Publicly available fast,2020,charging points,1231.0
3503,Italy,Historical,EV charging points,EV,Publicly available slow,2020,charging points,12150.0
3504,Italy,Historical,EV charging points,EV,Publicly available fast,2021,charging points,2247.0
3505,Italy,Historical,EV charging points,EV,Publicly available slow,2021,charging points,20224.0
3636,Japan,Historical,EV charging points,EV,Publicly available fast,2017,charging points,7255.0
3637,Japan,Historical,EV charging points,EV,Publicly available slow,2017,charging points,21507.0
3641,Japan,Historical,EV charging points,EV,Publicly available fast,2018,charging points,7684.0
3642,Japan,Historical,EV charging points,EV,Publicly available slow,2018,charging points,22287.0
3669,Japan,Historical,EV charging points,EV,Publicly available fast,2019,charging points,7858.0
3670,Japan,Historical,EV charging points,EV,Publicly available slow,2019,charging points,22536.0
3673,Japan,Historical,EV charging points,EV,Publicly available fast,2020,charging points,7939.0
3674,Japan,Historical,EV charging points,EV,Publicly available slow,2020,charging points,21916.0
3700,Japan,Historical,EV charging points,EV,Publicly available fast,2021,charging points,8043.0
3701,Japan,Historical,EV charging points,EV,Publicly available slow,2021,charging points,21150.0
3775,Korea,Historical,EV charging points,EV,Publicly available fast,2017,charging points,3343.0
3776,Korea,Historical,EV charging points,EV,Publicly available slow,2017,charging points,10333.0
3785,Korea,Historical,EV charging points,EV,Publicly available slow,2018,charging points,22139.0
3794,Korea,Historical,EV charging points,EV,Publicly available fast,2018,charging points,5213.0
3813,Korea,Historical,EV charging points,EV,Publicly available fast,2019,charging points,7396.0
3814,Korea,Historical,EV charging points,EV,Publicly available slow,2019,charging points,37396.0
3817,Korea,Historical,EV charging points,EV,Publicly available fast,2020,charging points,9805.0
3818,Korea,Historical,EV charging points,EV,Publicly available slow,2020,charging points,54383.0
3849,Korea,Historical,EV charging points,EV,Publicly available fast,2021,charging points,15067.0
3850,Korea,Historical,EV charging points,EV,Publicly available slow,2021,charging points,91634.0
3881,Mexico,Historical,EV charging points,EV,Publicly available fast,2017,charging points,19.0
3882,Mexico,Historical,EV charging points,EV,Publicly available slow,2017,charging points,359.0
3895,Mexico,Historical,EV charging points,EV,Publicly available fast,2018,charging points,30.0
3896,Mexico,Historical,EV charging points,EV,Publicly available slow,2018,charging points,846.0
3897,Mexico,Historical,EV charging points,EV,Publicly available fast,2019,charging points,46.0
3898,Mexico,Historical,EV charging points,EV,Publicly available slow,2019,charging points,976.0
3911,Mexico,Historical,EV charging points,EV,Publicly available fast,2020,charging points,79.0
3912,Mexico,Historical,EV charging points,EV,Publicly available slow,2020,charging points,1191.0
3913,Mexico,Historical,EV charging points,EV,Publicly available fast,2021,charging points,92.0
3914,Mexico,Historical,EV charging points,EV,Publicly available slow,2021,charging points,1250.0
4058,Netherlands,Historical,EV charging points,EV,Publicly available fast,2017,charging points,407.0
4059,Netherlands,Historical,EV charging points,EV,Publicly available slow,2017,charging points,32875.0
4089,Netherlands,Historical,EV charging points,EV,Publicly available fast,2018,charging points,819.0
4090,Netherlands,Historical,EV charging points,EV,Publicly available slow,2018,charging points,36010.0
4097,Netherlands,Historical,EV charging points,EV,Publicly available fast,2019,charging points,829.0
4098,Netherlands,Historical,EV charging points,EV,Publicly available slow,2019,charging points,49324.0
4132,Netherlands,Historical,EV charging points,EV,Publicly available fast,2020,charging points,2047.0
4133,Netherlands,Historical,EV charging points,EV,Publicly available slow,2020,charging points,63586.0
4140,Netherlands,Historical,EV charging points,EV,Publicly available fast,2021,charging points,2577.0
4141,Netherlands,Historical,EV charging points,EV,Publicly available slow,2021,charging points,82876.0
4229,New Zealand,Historical,EV charging points,EV,Publicly available fast,2017,charging points,104.0
4230,New Zealand,Historical,EV charging points,EV,Publicly available fast,2018,charging points,204.0
4231,New Zealand,Historical,EV charging points,EV,Publicly available slow,2018,charging points,89.0
4260,New Zealand,Historical,EV charging points,EV,Publicly available fast,2019,charging points,258.0
4261,New Zealand,Historical,EV charging points,EV,Publicly available slow,2019,charging points,131.0
4262,New Zealand,Historical,EV charging points,EV,Publicly available fast,2020,charging points,312.0
4263,New Zealand,Historical,EV charging points,EV,Publicly available slow,2020,charging points,146.0
4305,New Zealand,Historical,EV charging points,EV,Publicly available fast,2021,charging points,427.0
4306,New Zealand,Historical,EV charging points,EV,Publicly available slow,2021,charging points,172.0
4409,Norway,Historical,EV charging points,EV,Publicly available fast,2017,charging points,917.0
4410,Norway,Historical,EV charging points,EV,Publicly available slow,2017,charging points,8292.0
4411,Norway,Historical,EV charging points,EV,Publicly available fast,2018,charging points,1226.0
4412,Norway,Historical,EV charging points,EV,Publicly available slow,2018,charging points,9333.0
4447,Norway,Historical,EV charging points,EV,Publicly available fast,2019,charging points,3970.0
4448,Norway,Historical,EV charging points,EV,Publicly available slow,2019,charging points,10337.0
4449,Norway,Historical,EV charging points,EV,Publicly available fast,2020,charging points,5299.0
4450,Norway,Historical,EV charging points,EV,Publicly available slow,2020,charging points,11677.0
4496,Norway,Historical,EV charging points,EV,Publicly available fast,2021,charging points,6670.0
4497,Norway,Historical,EV charging points,EV,Publicly available slow,2021,charging points,12608.0
4632,Other Europe,Historical,EV charging points,EV,Publicly available fast,2017,charging points,1378.0
4633,Other Europe,Historical,EV charging points,EV,Publicly available slow,2017,charging points,6732.0
4634,Other Europe,Historical,EV charging points,EV,Publicly available fast,2018,charging points,1836.0
4635,Other Europe,Historical,EV charging points,EV,Publicly available slow,2018,charging points,7954.0
4659,Other Europe,Historical,EV charging points,EV,Publicly available slow,2019,charging points,8767.0
4680,Other Europe,Historical,EV charging points,EV,Publicly available fast,2019,charging points,2404.0
4701,Other Europe,Historical,EV charging points,EV,Publicly available fast,2020,charging points,4095.0
4702,Other Europe,Historical,EV charging points,EV,Publicly available slow,2020,charging points,14347.0
4775,Poland,Historical,EV charging points,EV,Publicly available fast,2017,charging points,113.0
4776,Poland,Historical,EV charging points,EV,Publicly available slow,2017,charging points,410.0
4792,Poland,Historical,EV charging points,EV,Publicly available fast,2018,charging points,281.0
4793,Poland,Historical,EV charging points,EV,Publicly available slow,2018,charging points,488.0
4799,Poland,Historical,EV charging points,EV,Publicly available fast,2019,charging points,308.0
4800,Poland,Historical,EV charging points,EV,Publicly available slow,2019,charging points,529.0
4831,Poland,Historical,EV charging points,EV,Publicly available fast,2020,charging points,677.0
4832,Poland,Historical,EV charging points,EV,Publicly available slow,2020,charging points,781.0
4840,Poland,Historical,EV charging points,EV,Publicly available fast,2021,charging points,1381.0
4841,Poland,Historical,EV charging points,EV,Publicly available slow,2021,charging points,2293.0
4920,Portugal,Historical,EV charging points,EV,Publicly available fast,2017,charging points,153.0
4921,Portugal,Historical,EV charging points,EV,Publicly available slow,2017,charging points,1452.0
4940,Portugal,Historical,EV charging points,EV,Publicly available fast,2018,charging points,184.0
4941,Portugal,Historical,EV charging points,EV,Publicly available slow,2018,charging points,1602.0
4952,Portugal,Historical,EV charging points,EV,Publicly available fast,2019,charging points,359.0
4953,Portugal,Historical,EV charging points,EV,Publicly available slow,2019,charging points,1602.0
4972,Portugal,Historical,EV charging points,EV,Publicly available fast,2020,charging points,647.0
4973,Portugal,Historical,EV charging points,EV,Publicly available slow,2020,charging points,2154.0
4984,Portugal,Historical,EV charging points,EV,Publicly available fast,2021,charging points,1426.0
4985,Portugal,Historical,EV charging points,EV,Publicly available slow,2021,charging points,2752.0
5472,South Africa,Historical,EV charging points,EV,Publicly available fast,2017,charging points,37.0
5473,South Africa,Historical,EV charging points,EV,Publicly available slow,2017,charging points,87.0
5474,South Africa,Historical,EV charging points,EV,Publicly available fast,2018,charging points,81.0
5475,South Africa,Historical,EV charging points,EV,Publicly available slow,2018,charging points,158.0
5488,South Africa,Historical,EV charging points,EV,Publicly available fast,2019,charging points,133.0
5489,South Africa,Historical,EV charging points,EV,Publicly available slow,2019,charging points,112.0
5490,South Africa,Historical,EV charging points,EV,Publicly available fast,2020,charging points,163.0
5491,South Africa,Historical,EV charging points,EV,Publicly available slow,2020,charging points,142.0
5504,South Africa,Historical,EV charging points,EV,Publicly available fast,2021,charging points,163.0
5505,South Africa,Historical,EV charging points,EV,Publicly available slow,2021,charging points,142.0
5599,Spain,Historical,EV charging points,EV,Publicly available fast,2017,charging points,596.0
5600,Spain,Historical,EV charging points,EV,Publicly available slow,2017,charging points,4312.0
5612,Spain,Historical,EV charging points,EV,Publicly available fast,2018,charging points,618.0
5613,Spain,Historical,EV charging points,EV,Publicly available slow,2018,charging points,4410.0
5639,Spain,Historical,EV charging points,EV,Publicly available fast,2019,charging points,1003.0
5640,Spain,Historical,EV charging points,EV,Publicly available slow,2019,charging points,4500.0
5653,Spain,Historical,EV charging points,EV,Publicly available fast,2020,charging points,2128.0
5654,Spain,Historical,EV charging points,EV,Publicly available slow,2020,charging points,6045.0
5683,Spain,Historical,EV charging points,EV,Publicly available fast,2021,charging points,2643.0
5684,Spain,Historical,EV charging points,EV,Publicly available slow,2021,charging points,5607.0
5792,Sweden,Historical,EV charging points,EV,Publicly available fast,2017,charging points,788.0
5793,Sweden,Historical,EV charging points,EV,Publicly available slow,2017,charging points,2576.0
5819,Sweden,Historical,EV charging points,EV,Publicly available fast,2018,charging points,902.0
5820,Sweden,Historical,EV charging points,EV,Publicly available slow,2018,charging points,3237.0
5833,Sweden,Historical,EV charging points,EV,Publicly available fast,2019,charging points,1030.0
5834,Sweden,Historical,EV charging points,EV,Publicly available slow,2019,charging points,4036.0
5860,Sweden,Historical,EV charging points,EV,Publicly available fast,2020,charging points,1608.0
5861,Sweden,Historical,EV charging points,EV,Publicly available slow,2020,charging points,8804.0
5876,Sweden,Historical,EV charging points,EV,Publicly available fast,2021,charging points,1640.0
5877,Sweden,Historical,EV charging points,EV,Publicly available slow,2021,charging points,12454.0
5968,Switzerland,Historical,EV charging points,EV,Publicly available fast,2017,charging points,503.0
5969,Switzerland,Historical,EV charging points,EV,Publicly available slow,2017,charging points,3460.0
5986,Switzerland,Historical,EV charging points,EV,Publicly available fast,2018,charging points,652.0
5987,Switzerland,Historical,EV charging points,EV,Publicly available slow,2018,charging points,4422.0
6001,Switzerland,Historical,EV charging points,EV,Publicly available fast,2019,charging points,786.0
6002,Switzerland,Historical,EV charging points,EV,Publicly available slow,2019,charging points,5414.0
6026,Switzerland,Historical,EV charging points,EV,Publicly available fast,2020,charging points,1158.0
6027,Switzerland,Historical,EV charging points,EV,Publicly available slow,2020,charging points,6676.0
6043,Switzerland,Historical,EV charging points,EV,Publicly available fast,2021,charging points,1585.0
6044,Switzerland,Historical,EV charging points,EV,Publicly available slow,2021,charging points,6623.0
6057,Thailand,Historical,EV charging points,EV,Publicly available fast,2017,charging points,8.0
6058,Thailand,Historical,EV charging points,EV,Publicly available slow,2017,charging points,88.0
6059,Thailand,Historical,EV charging points,EV,Publicly available fast,2018,charging points,8.0
6060,Thailand,Historical,EV charging points,EV,Publicly available slow,2018,charging points,88.0
6061,Thailand,Historical,EV charging points,EV,Publicly available fast,2019,charging points,69.0
6062,Thailand,Historical,EV charging points,EV,Publicly available slow,2019,charging points,748.0
6063,Thailand,Historical,EV charging points,EV,Publicly available fast,2020,charging points,706.0
6064,Thailand,Historical,EV charging points,EV,Publicly available slow,2020,charging points,1220.0
6065,Thailand,Historical,EV charging points,EV,Publicly available fast,2021,charging points,774.0
6066,Thailand,Historical,EV charging points,EV,Publicly available slow,2021,charging points,1511.0
6223,United Kingdom,Historical,EV charging points,EV,Publicly available fast,2017,charging points,2179.0
6224,United Kingdom,Historical,EV charging points,EV,Publicly available slow,2017,charging points,13062.0
6238,United Kingdom,Historical,EV charging points,EV,Publicly available fast,2018,charging points,2692.0
6239,United Kingdom,Historical,EV charging points,EV,Publicly available slow,2018,charging points,14732.0
6267,United Kingdom,Historical,EV charging points,EV,Publicly available fast,2019,charging points,4735.0
6268,United Kingdom,Historical,EV charging points,EV,Publicly available slow,2019,charging points,22359.0
6283,United Kingdom,Historical,EV charging points,EV,Publicly available fast,2020,charging points,6248.0
6284,United Kingdom,Historical,EV charging points,EV,Publicly available slow,2020,charging points,27222.0
6314,United Kingdom,Historical,EV charging points,EV,Publicly available fast,2021,charging points,7663.0
6315,United Kingdom,Historical,EV charging points,EV,Publicly available slow,2021,charging points,29231.0
6392,USA,Historical,EV charging points,EV,Publicly available fast,2017,charging points,3436.0
6393,USA,Historical,EV charging points,EV,Publicly available slow,2017,charging points,39601.0
6410,USA,Historical,EV charging points,EV,Publicly available fast,2018,charging points,4242.0
6411,USA,Historical,EV charging points,EV,Publicly available slow,2018,charging points,50258.0
6416,USA,Historical,EV charging points,EV,Publicly available fast,2019,charging points,13093.0
6417,USA,Historical,EV charging points,EV,Publicly available slow,2019,charging points,64265.0
6456,USA,Historical,EV charging points,EV,Publicly available fast,2020,charging points,16718.0
6457,USA,Historical,EV charging points,EV,Publicly available slow,2020,charging points,82263.0
6484,USA,Historical,EV charging points,EV,Publicly available fast,2021,charging points,21752.0
6485,USA,Historical,EV charging points,EV,Publicly available slow,2021,charging points,91775.0
